Title,Genre,Original Network,Premiere,Seasons,Length,Netflix Exclusive Regions,Status
3%,Science fiction,Netflix,"November 25, 2016","3 seasons, 26 episodes",38–51 min.,Worldwide,Renewed for final season
The Mechanism,Crime drama,Netflix,"March 23, 2018","2 seasons, 16 episodes",39–55 min.,Worldwide,"Ended
"
Samantha!,Comedy,Netflix,"July 6, 2018","2 seasons, 14 episodes",24–37 min.,Worldwide,Ended
Girls from Ipanema,Period drama,Netflix,"March 22, 2019","2 seasons, 13 episodes",35–56 min.,Worldwide,"Pending
"
The Chosen One,Thriller,Netflix,"June 28, 2019","2 seasons, 12 episodes",40–54 min.,Worldwide,"Pending
"
Sintonia,Drama,Netflix,"August 9, 2019","1 season, 6 episodes",37–47 min.,Worldwide,Renewed
Brotherhood,Crime drama,Netflix,"October 25, 2019","1 season, 8 episodes",47–57 min.,Worldwide,"Pending
"
Nobody's Looking,Comedy drama,Netflix,"November 22, 2019","1 season, 8 episodes",19–30 min.,Worldwide,Ended
Omniscient,Science fiction,Netflix,"January 29, 2020","1 season, 6 episodes",38–52 min.,Worldwide,"Pending
"
Spectros,Thriller,Netflix,"February 20, 2020","1 season, 7 episodes",36–61 min.,Worldwide,"Pending
"
Reality Z,Zombie horror,Netflix,"June 10, 2020","1 season, 10 episodes",25–36 min.,Worldwide,"Pending
"
Kissing Game,Comedy,Netflix,"July 17, 2020","TBA
","TBA
",Worldwide,"Pending
"
Club de Cuervos,Comedy-drama,Netflix,"August 7, 2015","4 seasons, 45 episodes",36–94 min.,Worldwide,Ended
Estocolmo,Crime drama,Netflix,"November 11, 2016","1 season, 13 episodes",37–49 min.,Worldwide,"Ended
"
Ingobernable,Political drama,Netflix,"March 24, 2017","2 seasons, 27 episodes",32–50 min.,Worldwide,"Ended
"
Cable Girls,Period drama,Netflix,"April 28, 2017","5 seasons, 37 episodes",36–63 min.,Worldwide,"Final episodes due to premiere on July 3, 2020"
Edha,Drama,Netflix,"March 16, 2018","1 season, 10 episodes",38–43 min.,Worldwide,"Ended
"
Club de Cuervos Presents: The Ballad of Hugo Sánchez,Comedy,Netflix,"June 17, 2018","1 season, 6 episodes",29–37 min.,Worldwide,"Ended
"
The House of Flowers,Comedy,Netflix,"August 10, 2018","3 seasons, 33 episodes",24–40 min.,Worldwide,Ended
Elite,Crime,Netflix,"October 5, 2018","3 seasons, 24 episodes",46–56 min.,Worldwide,Renewed for seasons 4 and 5
Wild District,Crime drama,Netflix,"October 19, 2018","2 seasons, 20 episodes",40–50 min.,Worldwide,"Pending
"
Diablero,Horror,Netflix,"December 21, 2018","2 seasons, 14 episodes",32–44 min.,Worldwide,"Pending
"
Always a Witch,Supernatural,Netflix,"February 1, 2019","2 seasons, 18 episodes",32–43 min.,Worldwide,"Pending
"
Go! Live Your Way,Musical,Netflix,"February 22, 2019","2 seasons, 30 episodes",36–44 min.,Worldwide,Renewed
Crime Diaries: The Candidate,Crime,Netflix,"March 22, 2019",8 episodes,32–48 min.,Worldwide,"Miniseries
"
Crime Diaries: Night Out,Crime,Netflix,"May 3, 2019",8 episodes,38–48 min.,Worldwide,"Miniseries
"
High Seas,Mystery,Netflix,"May 24, 2019","2 seasons, 16 episodes",38–49 min.,Worldwide,Renewed for final season
Yankee,Drama,Netflix,"June 14, 2019","1 season, 25 episodes",36–44 min.,Worldwide,"Ended
"
Green Frontier,Crime drama,Netflix,"August 16, 2019",8 episodes,30–48 min.,Worldwide,"Miniseries
"
Monarca,Family drama,Netflix,"September 13, 2019","1 season, 10 episodes",40–49 min.,Worldwide,Renewed
Criminal: Spain,Police procedural,Netflix,"September 20, 2019","1 season, 3 episodes",39–41 min.,Worldwide,"Pending
"
Hache,Thriller,Netflix,"November 1, 2019","1 season, 8 episodes",40–52 min.,Worldwide,Renewed
The Club,Comedy,Netflix,"November 15, 2019","1 season, 25 episodes",26–37 min.,Worldwide,"Pending
"
Three Days of Christmas,Drama,Netflix,"December 6, 2019",3 episodes,54–67 min.,Worldwide,Miniseries
The Neighbor,Superhero,Netflix,"December 31, 2019","1 season, 10 episodes",25–33 min.,Worldwide,Renewed
Puerta 7,Sports,Netflix,"February 21, 2020","1 season, 8 episodes",35–45 min.,Worldwide,"Pending
"
Unstoppable,Comedy-drama,Netflix,"February 28, 2020","1 season, 10 episodes",35–44 min.,Worldwide,"Pending
"
Almost Happy,Comedy,Netflix,"May 1, 2020","1 season, 10 episodes",21–28 min.,Worldwide,"Pending
"
Valeria,Dramedy,Netflix,"May 8, 2020","1 season, 8 episodes",37–46 min.,Worldwide,Renewed
The Unremarkable Juanquini,Comedy,Netflix,"May 15, 2020","1 season, 7 episodes",24–37 min.,Worldwide,Renewed
Control Z,Teen drama,Netflix,"May 22, 2020","1 season, 8 episodes",34–41 min.,Worldwide,Renewed
The Search,Crime,Netflix,"June 12, 2020",6 episodes,34–44 min.,Worldwide,"Miniseries
"
Dark Desire,Thriller,Netflix,"July 15, 2020","TBA
","TBA
",Worldwide,"Pending
"
The Protector,Supernatural,Netflix,"December 14, 2018","3 seasons, 25 episodes",31–51 min.,Worldwide,"Season 4 due to premiere on July 9, 2020"
The Gift,Supernatural drama,Netflix,"December 27, 2019","1 season, 8 episodes",41–55 min.,Worldwide,Renewed for season 2 and 3 (final)
Love 101,Teen drama,Netflix,"April 24, 2020","1 season, 8 episodes",33–48 min.,Worldwide,"Pending
"
Chef's Table,Culinary art,Netflix,"April 26, 2015","6 volumes, 30 episodes",42–58 min.,Worldwide,Renewed
Making a Murderer,Crime drama,Netflix,"December 18, 2015","2 parts, 20 episodes",47–77 min.,Worldwide,"Ended
"
Chelsea Does,Comedy,Netflix,"January 23, 2016","1 season, 4 episodes",62–74 min.,Worldwide,Ended
Cooked,Culinary art,Netflix,"February 19, 2016",4 episodes,50–58 min.,Worldwide,"Miniseries
"
Last Chance U,Sport,Netflix,"July 29, 2016","4 parts, 30 episodes",52–76 min.,Worldwide,"Final season due to premiere on July 30, 2020"
Fearless,Sport,Netflix,"August 19, 2016",6 episodes,50–58 min.,Worldwide,"Miniseries
"
Chef's Table: France,Culinary art,Netflix,"September 2, 2016","1 season, 4 episodes",41–54 min.,Worldwide,"Ended
"
Roman Empire,Historical drama,Netflix,"November 11, 2016","3 seasons, 15 episodes",38–48 min.,Worldwide,"Ended
"
Captive,Documentary,Netflix,"December 9, 2016",8 episodes,59–73 min.,Worldwide,"Miniseries
"
Abstract: The Art of Design,Biography,Netflix,"February 10, 2017","2 seasons, 14 episodes",41–48 min.,Worldwide,"Pending
"
QB1: Beyond the Lights,Sport,Netflix,"February 13, 2017","3 seasons, 30 episodes",28–41 min.,Worldwide,"Pending
"
Five Came Back,Historical drama,Netflix,"March 31, 2017",3 episodes,59–69 min.,Worldwide,"Miniseries
"
Hot Girls Wanted: Turned On,Documentary,Netflix,"April 21, 2017",6 episodes,41–58 min.,Worldwide,"Miniseries
"
The Keepers,Crime drama,Netflix,"May 19, 2017",7 episodes,56–66 min.,Worldwide,"Miniseries
"
Daughters of Destiny,Documentary,Netflix,"July 28, 2017",4 episodes,56–65 min.,Worldwide,"Miniseries
"
Fire Chasers,Documentary,Netflix,"September 8, 2017",4 episodes,50–58 min.,Worldwide,"Miniseries
"
The Confession Tapes,True crime,Netflix,"September 8, 2017","2 seasons, 11 episodes",41–54 min.,Worldwide,"Ended
"
Jack Whitehall: Travels with My Father,Travel documentary,Netflix,"September 22, 2017","3 seasons, 13 episodes",28–61 min.,Worldwide,"Pending
"
The Day I Met El Chapo,Biography,Netflix,"October 20, 2017","1 season, 3 episodes",48–61 min.,Worldwide,"Ended
"
Shot in the Dark,True crime,Netflix,"November 17, 2017","1 season, 8 episodes",34–41 min.,Worldwide,"Ended
"
Wormwood,Psychological,Netflix,"December 15, 2017",6 chapters,41–48 min.,Worldwide,"Miniseries
"
72 Dangerous Animals: Latin America,Nature,Netflix,"December 22, 2017","1 season, 12 episodes",41–46 min.,Worldwide,"Ended
"
Dope,Documentary,Netflix,"December 22, 2017","3 seasons, 12 episodes",36–48 min.,Worldwide,"Pending
"
The Toys That Made Us,Documentary,Netflix,"December 22, 2017","3 seasons, 12 episodes",43–51 min.,Worldwide,"Pending
"
Rotten,Documentary,Netflix,"January 5, 2018","2 seasons, 12 episodes",48–63 min.,Worldwide,"Pending
"
Somebody Feed Phil,Travel documentary,Netflix,"January 12, 2018","3 seasons, 17 episodes",45–63 min.,Worldwide,"Pending
"
Drug Lords,Documentary,Netflix,"January 19, 2018","2 seasons, 8 episodes",42–47 min.,Worldwide,"Ended
"
Dirty Money,Documentary,Netflix,"January 26, 2018","2 seasons, 12 episodes",50–77 min.,Worldwide,"Pending
"
Coach Snoop,Sport,Netflix,"February 2, 2018","1 season, 8 episodes",28–30 min.,Worldwide,"Ended
"
First Team: Juventus,Sport,Netflix,"February 16, 2018","1 season, 6 episodes",37–42 min.,Worldwide,"Ended
"
Ugly Delicious,Travel documentary,Netflix,"February 23, 2018","2 seasons, 12 episodes",46–55 min.,Worldwide,"Pending
"
Flint Town,Documentary,Netflix,"March 2, 2018",8 episodes,35–48 min.,Worldwide,"Miniseries
"
Girls Incarcerated,Documentary,Netflix,"March 2, 2018","2 seasons, 16 episodes",37–47 min.,Worldwide,"Ended
"
Wild Wild Country,Documentary,Netflix,"March 16, 2018",6 episodes,64–72 min.,Worldwide,"Miniseries
"
Rapture,Documentary,Netflix,"March 30, 2018","1 season, 8 episodes",52–63 min.,Worldwide,"Ended
"
Bobby Kennedy for President,History,Netflix,"April 27, 2018",4 chapters,59–66 min.,Worldwide,"Miniseries
"
Evil Genius: The True Story of America's Most Diabolical Bank Heist,True crime,Netflix,"May 11, 2018",4 episodes,46–54 min.,Worldwide,"Miniseries
"
Explained,Docu-series,Netflix,"May 23, 2018","2 seasons, 30 episodes",14–26 min.,Worldwide,"Pending
"
November 13: Attack on Paris,Documentary,Netflix,"June 1, 2018",3 episodes,47–59 min.,Worldwide,"Miniseries
"
Dark Tourist,Travel documentary,Netflix,"July 20, 2018","1 season, 8 episodes",39–42 min.,Worldwide,"Ended
"
Marching Orders,Docu-series,Netflix,"August 3, 2018","1 season, 12 episodes",9–14 min.,Worldwide,"Ended
"
72 Dangerous Animals: Asia,Nature,Netflix,"August 10, 2018","1 season, 12 episodes",44–48 min.,Worldwide,"Ended
"
Afflicted,Docu-series,Netflix,"August 10, 2018","1 season, 7 episodes",37–46 min.,Worldwide,"Ended
"
Follow This,Docu-series,Netflix,"August 23, 2018","3 parts, 20 episodes",15–20 min.,Worldwide,Ended
First and Last,Docu-series,Netflix,"September 7, 2018","1 season, 6 episodes",38–43 min.,Worldwide,"Ended
"
Boca Juniors Confidential,Docu-series,Netflix,"September 14, 2018","1 season, 4 episodes",40–44 min.,Worldwide,"Ended
"
"Salt, Fat, Acid, Heat",Travel documentary,Netflix,"October 11, 2018",4 episodes,40–48 min.,Worldwide,"Miniseries
"
FightWorld,Travel documentary,Netflix,"October 12, 2018","1 season, 5 episodes",41–44 min.,Worldwide,"Ended
"
Terrorism Close Calls,Docu-series,Netflix,"October 26, 2018","1 season, 10 episodes",47–49 min.,Worldwide,"Ended
"
Medal of Honor,Docu-series,Netflix,"November 9, 2018","1 season, 8 episodes",46–61 min.,Worldwide,"Ended
"
Dogs,Docu-series,Netflix,"November 16, 2018","1 season, 6 episodes",50–53 min.,Worldwide,Renewed
Vai Anitta,Docu-series,Netflix,"November 16, 2018","1 season, 6 episodes",25–35 min.,Worldwide,"Ended
"
Inside the Real Narcos,Docu-series,Netflix,"December 14, 2018","1 season, 3 episodes",45–46 min.,Worldwide,"Ended
"
Sunderland 'Til I Die,Sport,Netflix,"December 14, 2018","2 seasons, 14 episodes",30–53 min.,Worldwide,"Pending
"
The Innocent Man,True crime,Netflix,"December 14, 2018",6 episodes,42–52 min.,Worldwide,"Miniseries
"
7 Days Out,Docu-series,Netflix,"December 21, 2018","1 season, 6 episodes",47–48 min.,Worldwide,"Ended
"
Murder Mountain,True crime,Netflix,"December 28, 2018","1 season, 6 episodes",43 min.,Worldwide,"Ended
"
Trigger Warning with Killer Mike,Docu-series,Netflix,"January 18, 2019","1 season, 6 episodes",22–27 min.,Worldwide,"Ended
"
Conversations with a Killer: The Ted Bundy Tapes,True crime,Netflix,"January 24, 2019",4 episodes,51–74 min.,Worldwide,"Miniseries
"
Examination of Conscience,True crime,Netflix,"January 25, 2019","1 season, 3 episodes",51–54 min.,Worldwide,"Ended
"
Larry Charles' Dangerous World of Comedy,Docu-series,Netflix,"February 15, 2019","1 season, 4 episodes",51–66 min.,Worldwide,"Ended
"
Losers,Sport,Netflix,"March 1, 2019","1 collection, 8 episodes",25–37 min.,Worldwide,"Ended
"
Cricket Fever: Mumbai Indians,Sport,Netflix,"March 1, 2019","1 season, 8 episodes",33–44 min.,Worldwide,"Ended
"
Formula 1: Drive to Survive,Sport,Netflix,"March 8, 2019","2 seasons, 20 episodes",27–41 min.,Worldwide,"Pending
"
The Disappearance of Madeleine McCann,True crime,Netflix,"March 15, 2019",8 episodes,43–65 min.,Worldwide,"Miniseries
"
Our Planet,Nature documentary,Netflix,"April 5, 2019",8 episodes,49–54 min.,Worldwide,"Miniseries
"
Street Food: Asia,Culinary art,Netflix,"April 26, 2019","1 season, 9 episodes",30–34 min.,Worldwide,"Ended
"
1994,Docu-series,Netflix,"May 17, 2019",5 episodes,44–52 min.,Worldwide,"Miniseries
"
Killer Ratings,Docu-series,Netflix,"May 31, 2019","1 season, 7 episodes",42–58 min.,Worldwide,"Ended
"
The Chef Show,Culinary art,Netflix,"June 7, 2019","1 season, 20 episodes",26–34 min.,Worldwide,"Pending
"
The Alcàsser Murders,True crime,Netflix,"June 14, 2019","1 season, 5 episodes",53–66 min.,Worldwide,"Ended
"
Exhibit A,True crime,Netflix,"June 28, 2019","1 season, 4 episodes",29–41 min.,Worldwide,"Pending
"
The Last Czars,Docu-series,Netflix,"July 3, 2019","1 season, 6 episodes",42–50 min.,Worldwide,"Pending
"
Taco Chronicles,Culinary art,Netflix,"July 12, 2019","1 season, 6 episodes",26–31 min.,Worldwide,"Pending
"
The Family,Docu-series,Netflix,"August 9, 2019",5 episodes,47–54 min.,Worldwide,"Miniseries
"
Happy Jail,Docu-series,Netflix,"August 14, 2019",5 episodes,29–37 min.,Worldwide,"Miniseries
"
Diagnosis,Docu-series,Netflix,"August 16, 2019","1 season, 7 episodes",43–49 min.,Worldwide,"Pending
"
"The Mind, Explained",Docu-series,Netflix,"September 12, 2019",5 episodes,19–22 min.,Worldwide,"Miniseries
"
Inside Bill's Brain: Decoding Bill Gates,Docu-series,Netflix,"September 20, 2019",3 episodes,51–56 min.,Worldwide,"Miniseries
"
Living Undocumented,Docu-series,Netflix,"October 2, 2019","1 season, 6 episodes",38–46 min.,Worldwide,"Pending
"
Unnatural Selection,Docu-series,Netflix,"October 18, 2019",4 episodes,62–70 min.,Worldwide,"Miniseries
"
"Breakfast, Lunch & Dinner",Docu-series,Netflix,"October 23, 2019","1 season, 4 episodes",43-44 min.,Worldwide,"Pending
"
The Devil Next Door,Docu-series,Netflix,"November 4, 2019",5 episodes,43-52 min.,Worldwide,"Miniseries
"
Maradona in Mexico,Sport,Netflix,"November 13, 2019",7 episodes,26-39 min.,Worldwide,"Miniseries
"
Who Killed Little Gregory?,Docu-series,Netflix,"November 20, 2019",5 episodes,53-69 min.,Worldwide,"Miniseries
"
Narcoworld: Dope Stories,Docu-series,Netflix,"November 22, 2019","1 season, 4 episodes",39–48 min.,Worldwide,"Pending
"
Broken,Docu-series,Netflix,"November 27, 2019","1 season, 4 episodes",58–61 min.,Worldwide,"Pending
"
The Movies That Made Us,Docu-series,Netflix,"November 29, 2019","1 season, 4 episodes",45–52 min.,Worldwide,Renewed
The Confession Killer,True crime,Netflix,"December 6, 2019",5 episodes,45–50 min.,Worldwide,"Miniseries
"
Don't F**k With Cats: Hunting an Internet Killer,True crime,Netflix,"December 18, 2019",3 episodes,57–66 min.,Worldwide,"Miniseries
"
Kevin Hart: Don't F**k This Up,Docu-series,Netflix,"December 27, 2019","1 season, 6 episodes",25–36 min.,Worldwide,"Pending
"
ARASHI's Diary -Voyage-,Japanese language,Netflix,"December 31, 2019",9 episodes,18–44 min.,Worldwide,"Miniseries ongoing
"
"Sex, Explained",Docu-series,Netflix,"January 2, 2020", 6 episodes,17–26 min.,Worldwide,"Miniseries
"
Cheer,Docu-series,Netflix,"January 8, 2020","1 season, 6 episodes",56–62 min.,Worldwide,"Pending
"
Killer Inside: The Mind of Aaron Hernandez,True crime,Netflix,"January 15, 2020",3 episodes,66–67 min.,Worldwide,"Miniseries
"
Pandemic: How to Prevent an Outbreak,Docu-series,Netflix,"January 22, 2020","1 season, 6 episodes",41–53 min.,Worldwide,"Pending
"
Rise of Empires: Ottoman,Docudrama,Netflix,"January 24, 2020","1 season, 6 episodes",45–47 min.,Worldwide,"Pending
"
Night on Earth,Docu-series,Netflix,"January 29, 2020",6 episodes,41–53 min.,Worldwide,"Miniseries
"
The Pharmacist,Docu-series,Netflix,"February 5, 2020",4 episodes,48–61 min.,Worldwide,"Miniseries
"
Babies,Docu-series,Netflix,"February 21, 2020","2 parts, 12 episodes",46–54 min.,Worldwide,"Pending
"
The Trials of Gabriel Fernandez,Docu-series,Netflix,"February 26, 2020",6 episodes,47–63 min.,Worldwide,"Miniseries
"
"Tiger King: Murder, Mayhem and Madness",Docu-series,Netflix,"March 20, 2020",8 episodes,41–48 min.,Worldwide,"Miniseries
"
How to Fix a Drug Scandal,True crime,Netflix,"April 1, 2020",4 episodes,47–59 min.,Worldwide,"Miniseries
"
The Innocence Files,Docu-series,Netflix,"April 15, 2020",9 episodes,51–85 min.,Worldwide,"Miniseries
"
Absurd Planet,Docu-series,Netflix,"April 22, 2020","1 season, 12 episodes",19–20 min.,Worldwide,"Pending
"
"Coronavirus, Explained",Docu-series,Netflix,"April 26, 2020",3 episodes,20–26 min.,Worldwide,"Miniseries
"
Trial by Media,Docu-series,Netflix,"May 11, 2020","1 season, 6 episodes",57–64 min.,Worldwide,"Pending
"
History 101,Docu-series,Netflix,"May 22, 2020","1 season, 10 episodes",20–23 min.,Worldwide,"Pending
"
Jeffrey Epstein: Filthy Rich,Docu-series,Netflix,"May 27, 2020",4 episodes,55–57 min.,Worldwide,"Miniseries
"
Lenox Hill,Docu-series,Netflix,"June 10, 2020","1 season, 8 episodes",47–53 min.,Worldwide,"New episode due to premiere on June 24, 2020"
Home Game,Docu-series,Netflix,"June 26, 2020","1 season, 8 episodes","TBA
",Worldwide,"Pending
"
White Rabbit Project,"Science investigation
",Netflix,"December 9, 2016","1 season, 10 episodes",45–48 min.,Worldwide,Ended
Chasing Cameron,"Celebrity
",Netflix,"December 27, 2016","1 season, 10 episodes",26–33 min.,Worldwide,Ended
Ultimate Beastmaster,"Competition
",Netflix,"February 24, 2017","3 seasons, 29 episodes",41–84 min.,Worldwide,"Ended
"
Queer Eye,Makeover reality,Netflix,"February 7, 2018","5 seasons, 42 episodes",43–52 min.,Worldwide,Renewed
Nailed It!,Competition,Netflix,"March 9, 2018","4 seasons, 27 episodes",12–35 min.,Worldwide,"Pending
"
Fastest Car,"Motoring television series
",Netflix,"April 6, 2018","2 seasons, 15 episodes",41–52 min.,Worldwide,"Pending
"
Cooking on High,Cooking show,Netflix,"June 22, 2018","1 season, 12 episodes",13–15 min.,Worldwide,"Ended
"
Sugar Rush,Baking competition,Netflix,"July 13, 2018","2 seasons, 14 episodes",47–55 min.,Worldwide,"Pending
"
Amazing Interiors,Reality,Netflix,"July 20, 2018","1 season, 12 episodes",21–28 min.,Worldwide,"Ended
"
Magic for Humans,Reality,Netflix,"August 17, 2018","3 seasons, 19 episodes",20–25 min.,Worldwide,"Pending
"
Stay Here,Reality,Netflix,"August 17, 2018","1 season, 8 episodes",31–33 min.,Worldwide,"Ended
"
Car Masters: Rust to Riches,"Motoring television series
",Netflix,"September 14, 2018","2 seasons, 16 episodes",31–40 min.,Worldwide,"Pending
"
Battlefish,Reality,Netflix,"September 21, 2018","1 season, 8 episodes",38–46 min.,Worldwide,"Ended
"
Made in Mexico,"Spanish language reality series
",Netflix,"September 28, 2018","1 season, 8 episodes",45–54 min.,Worldwide,"Ended
"
Dancing Queen,"Celebrity
",Netflix,"October 5, 2018","1 season, 8 episodes",38–46 min.,Worldwide,"Ended
"
The Curious Creations of Christine McConnell,Cooking show,Netflix,"October 12, 2018","1 season, 6 episodes",24–29 min.,Worldwide,Ended
Haunted,"Horror
",Netflix,"October 19, 2018","2 seasond, 12 episodes",20–31 min.,Worldwide,"Pending
"
Westside,Music,Netflix,"November 9, 2018","1 season, 8 episodes",46–58 min.,Worldwide,"Ended
"
The Final Table,Culinary competition,Netflix,"November 20, 2018","1 season, 10 episodes",48–60 min.,Worldwide,"Ended
"
Death by Magic,Reality,Netflix,"November 30, 2018","1 season, 8 episodes",31–39 min.,Worldwide,"Ended
"
Nailed It! Holiday,Reality competition,Netflix,"December 7, 2018","2 seasons, 13 episodes",32–35 min.,Worldwide,"Pending
"
Tidying Up with Marie Kondo,Reality show,Netflix,"January 1, 2019","1 season, 8 episodes",35–47 min.,Worldwide,"Ended
"
Nailed It! Mexico,Spanish language,Netflix,"February 8, 2019","1 season, 6 episodes",32–34 min.,Worldwide,Renewed for season 2 and 3
Dating Around,Reality,Netflix,"February 14, 2019","2 seasons, 12 episodes",24–30 min.,Worldwide,"Pending
"
Selling Sunset,Reality,Netflix,"March 22, 2019","2 seasons, 16 episodes",28–46 min.,Worldwide,"Season 3 due to premiere on August 7, 2020"
You vs. Wild,Interactive ,Netflix,"April 10, 2019","1 season, 8 episodes",14–26 min.,Worldwide,"Ended
"
Flinch,Reality television,Netflix,"May 3, 2019","1 season, 10 episodes",20–25 min.,Worldwide,"Ended
"
Jailbirds,Reality television,Netflix,"May 10, 2019","1 season, 10 episodes",37–47 min.,Worldwide,"Ended
"
Awake: The Million Dollar Game,Reality television,Netflix,"June 14, 2019","1 season, 8 episodes",35–41 min.,Worldwide,"Ended
"
Extreme Engagement,Reality television,Netflix,"July 12, 2019","1 season, 8 episodes",32–40 min.,Worldwide,"Pending
"
Basketball or Nothing,Reality competition,Netflix,"August 2, 2019","1 season, 6 episodes",31–37 min.,Worldwide,"Pending
"
Hyperdrive,Reality competition,Netflix,"August 21, 2019","1 season, 10 episodes",43-61 min.,Worldwide,"Pending
"
Styling Hollywood,Reality television,Netflix,"August 30, 2019","1 season, 8 episodes",33–40 min.,Worldwide,"Pending
"
Rhythm + Flow,Music competition,Netflix,"October 9, 2019","1 season, 10 episodes",51-69 min.,Worldwide,Renewed
Nailed It! France,French language,Netflix,"October 25, 2019","1 season, 6 episodes",34 min.,Worldwide,"Pending
"
Nailed It! Spain,Spanish language,Netflix,"October 25, 2019","1 season, 6 episodes",31-34 min.,Worldwide,"Pending
"
Prank Encounters,Prank show,Netflix,"October 25, 2019","1 season, 8 episodes",21-26 min.,Worldwide,"Pending
"
Queer Eye: We're in Japan!,Reality television,Netflix,"November 1, 2019","1 season, 4 episodes",49-51 min.,Worldwide,"Pending
"
I'm with the Band: Nasty Cherry,Reality television,Netflix,"November 15, 2019","1 season, 6 episodes",25-41 min.,Worldwide,"Pending
"
No Time for Shame,Spanish language,Netflix,"November 19, 2019","1 season, 6 episodes",38-47 min.,Worldwide,"Pending
"
Singapore Social,Reality,Netflix,"November 22, 2019","1 season, 8 episodes",35-44 min.,Worldwide,"Pending
"
Sugar Rush Christmas,Baking competition,Netflix,"November 29, 2019","1 season, 6 episodes",48-50 min.,Worldwide,"Pending
"
The Circle,Reality competition,Netflix,"January 1, 2020","1 season, 12 episodes",44-63 min.,Worldwide,Renewed for seasons 2 and 3
Until Dawn,French language,Netflix,"January 10, 2020","1 season, 10 episodes",17-25 min.,Worldwide,"Pending
"
Nailed It! Germany,German language,Netflix,"January 17, 2020","1 season, 6 episodes",34-37 min.,Worldwide,"Pending
"
The Goop Lab with Gwyneth Paltrow,Reality television,Netflix,"January 24, 2020","1 season, 6 episodes",30-37 min.,Worldwide,"Pending
"
Next In Fashion,Reality competition,Netflix,"January 29, 2020","1 season, 10 episodes",46-56 min.,Worldwide,Ended
What the Love! with Karan Johar,Dating show,Netflix,"January 30, 2020","1 season, 7 episodes",45-50 min.,Worldwide,"Pending
"
Love Is Blind,Dating show,Netflix,"February 13, 2020","1 season, 11 episodes",48-84 min.,Worldwide,Renewed for seasons 2 and 3
The Circle Brazil,Portuguese language,Netflix,"March 11, 2020","1 season, 12 episodes",39-61 min.,Worldwide,"Pending
"
100 Humans,Reality competition,Netflix,"March 13, 2020","1 season, 8 episodes",32-41 min.,Worldwide,"Pending
"
The Circle France,Reality competition,Netflix,"April 9, 2020","1 season, 12 episodes",37-51 min.,Worldwide,"Pending
"
Too Hot to Handle,Dating show,Netflix,"April 17, 2020","1 season, 9 episodes",37-44 min.,Worldwide,"Pending
"
Cooked with Cannabis,Reality competition,Netflix,"April 20, 2020","1 season, 6 episodes",32-37 min.,Worldwide,"Pending
"
The Big Flower Fight,Reality competition,Netflix,"May 18, 2020","1 season, 8 episodes",33-42 min.,Worldwide,"Pending
"
Floor Is Lava,Game show,Netflix,"June 19, 2020","1 season, 10 episodes",25-37 min.,Worldwide,"Pending
"
Twogether,Travel,Netflix,"June 26, 2020","TBA
","TBA
",Worldwide,"Pending
"
Say I Do,Reality,Netflix,"July 1, 2020","TBA
","TBA
",Worldwide,"Pending
"
Dating Around Brazil,Portuguese language,Netflix,"July 10, 2020","TBA
","TBA
",Worldwide,"Pending
"
Chelsea,Late-night,Netflix,"May 11, 2016","2 seasons, 120 episodes",27–64 min.,Worldwide,Ended
Julie's Greenroom,Educational,Netflix,"March 17, 2017","1 season, 13 episodes",27–34 min.,Worldwide,"Ended
"
13 Reasons Why: Beyond the Reasons,Aftershow,Netflix,"March 31, 2017","3 seasons, 3 episodes",17–67 min.,Worldwide,"Ended
"
Bill Nye Saves the World,Science,Netflix,"April 21, 2017","3 seasons, 25 episodes",26–41 min.,Worldwide,"Ended
"
Beyond Stranger Things,Aftershow,Netflix,"October 27, 2017","1 season, 7 episodes",15–25 min.,Worldwide,"Ended
"
My Next Guest Needs No Introduction with David Letterman,Interview,Netflix,"January 12, 2018","2 seasons, 13 episodes",41–58 min.,Worldwide,"Ended
"
The Joel McHale Show with Joel McHale,Comedy,Netflix,"February 18, 2018","1 season, 19 episodes",22–28 min.,Worldwide,Ended
A Little Help with Carol Burnett,Variety show,Netflix,"May 4, 2018","1 season, 12 episodes",21–29 min.,Worldwide,"Ended
"
Busted!,Korean language,Netflix,"May 4, 2018","2 seasons, 20 episodes",63–98 min.,Worldwide,"Renewed
"
The Who Was? Show,Educational,Netflix,"May 11, 2018","1 season, 13 episodes",23–27 min.,Worldwide,"Ended
"
The Break with Michelle Wolf,Late-night,Netflix,"May 27, 2018","1 season, 10 episodes",27 min.,Worldwide,Ended
Norm Macdonald Has a Show,Talk show,Netflix,"September 14, 2018","1 season, 10 episodes",26–35 min.,Worldwide,Ended
Patriot Act with Hasan Minhaj,Talk show,Netflix,"October 28, 2018","6 volumes, 39 episodes",22–30 min.,Worldwide,"Volume 6 ongoing
"
Brainchild,Educational,Netflix,"November 2, 2018","1 season, 13 episodes",22–25 min.,Worldwide,"Ended
"
The Fix,Panel show,Netflix,"December 14, 2018","1 season, 10 episodes",23–31 min.,Worldwide,"Ended
"
J-Style Trip,Mandarin language,Netflix,"March 21, 2020","1 season, 13 episodes",56–88 min.,Worldwide,"Pending
"
Frank Elstner: Just One Last Question,German language,Netflix,"June 12, 2020","1 season, 5 episodes",37–48 min.,Worldwide,"Pending
"
