,Title,Genre,Premiere,Seasons,Metascore,imdbRating,imdbVotes,Title_from_OMDB,imdbID
817,Quincy,Documentaries,"September 21, 2018",,60,7.6,"3,313",Quincy,tt7440432
818,Two Catalonias,Documentaries,"September 28, 2018",,N/A,6.5,295,Two Catalonias,tt8893608
819,Lessons from a School Shooting: Notes from Dunblane,Documentaries,"September 28, 2018",,,,,,
820,Feminists: What Were They Thinking?,Documentaries,"October 12, 2018",,N/A,6.8,"1,333",Feminists: What Were They Thinking?,tt5419676
821,ReMastered: Who Shot the Sheriff?,Documentaries,"October 12, 2018",,N/A,6.9,826,ReMastered: Who Shot the Sheriff?,tt9046548
822,Shirkers,Documentaries,"October 26, 2018",,88,7.4,"4,181",Shirkers,tt7472352
823,They'll Love Me When I'm Dead,Documentaries,"November 2, 2018",,77,7.4,"4,128",They'll Love Me When I'm Dead,tt6893836
824,ReMastered: Tricky Dick & the Man in Black,Documentaries,"November 2, 2018",,N/A,7.2,"1,062",ReMastered: Tricky Dick and the Man in Black,tt9046556
825,The American Meme,Documentaries,"December 7, 2018",,60,7.1,"9,582",The American Meme,tt8106160
826,ReMastered: Who Killed Jam Master Jay?,Documentaries,"December 7, 2018",,,,,,
827,"Out of Many, One",Documentaries,"December 12, 2018",,N/A,5.4,194,"Out of Many, One",tt9283302
828,Struggle: The Life and Lost Art of Szukalski,Documentaries,"December 21, 2018",,N/A,8.0,"2,446",Struggle: The Life and Lost Art of Szukalski,tt9316022
829,ReMastered: Massacre at the Stadium,Documentaries,"January 11, 2019",,N/A,7.3,590,ReMastered: Massacre at the Stadium,tt9046562
830,Fyre: The Greatest Party That Never Happened,Documentaries,"January 18, 2019",,,,,,
831,ReMastered: The Two Killings of Sam Cooke,Documentaries,"February 8, 2019",,N/A,7.2,"1,339",ReMastered: The Two Killings of Sam Cooke,tt9046564
832,Period. End of Sentence.,Documentaries,"February 12, 2019",,N/A,7.4,"5,082",Period. End of Sentence.,tt6939026
833,Antoine Griezmann: The Making of a Legend,Documentaries,"March 21, 2019",,N/A,6.5,844,Antoine Griezmann: The Making of a Legend,tt9817308
834,ReMastered: The Miami Showband Massacre,Documentaries,"March 22, 2019",,N/A,7.0,905,ReMastered: The Miami Showband Massacre,tt9046568
835,The Legend of Cocaine Island,Documentaries,"March 29, 2019",,44,6.3,"2,566",The Legend of Cocaine Island,tt8106596
836,Homecoming: A Film by Beyoncé,Documentaries,"April 17, 2019",,N/A,7.4,"5,905",Homecoming: A Film by Beyoncé,tt10147546
837,Brené Brown: The Call to Courage,Documentaries,"April 19, 2019",,N/A,7.7,"1,028",Brené Brown: The Call to Courage,tt10050766
838,Grass Is Greener,Documentaries,"April 20, 2019",,N/A,7.1,822,Grass is Greener,tt10050782
839,ReMastered: Devil at the Crossroads,Documentaries,"April 26, 2019",,N/A,7.0,"1,986",ReMastered: Devil at the Crossroads,tt9046574
840,Knock Down the House,Documentaries,"May 1, 2019",,80,7.0,"10,542",Knock Down the House,tt9358052
841,All in My Family,Documentaries,"May 3, 2019",,N/A,6.8,492,All in My Family,tt9097148
842,ReMastered: The Lion's Share,Documentaries,"May 17, 2019",,N/A,6.9,385,ReMastered: The Lion's Share,tt9046576
843,A Tale of Two Kitchens,Documentaries,"May 22, 2019",,N/A,6.4,196,A Tale of Two Kitchens,tt10243660
844,After Maria,Documentaries,"May 24, 2019",,N/A,4.4,366,After Maria,tt10136680
845,The Black Godfather,Documentaries,"June 7, 2019",,69,7.4,963,The Black Godfather,tt10289996
846,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Documentaries,"June 12, 2019",,86,7.6,"4,987",Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,tt9577852
847,Life Overtakes Me,Documentaries,"June 14, 2019",,N/A,6.5,"1,572",Life Overtakes Me,tt9204606
848,The Edge of Democracy,Documentaries,"June 19, 2019",,81,7.1,"12,819",The Edge of Democracy,tt6016744
849,Parchis: The Documentary,Documentaries,"July 10, 2019",,N/A,6.8,304,Parchís: The Documentary,tt10511826
850,The Great Hack,Documentaries,"July 24, 2019",,N/A,7.0,"19,043",The Great Hack,tt4736550
851,Enter the Anime,Documentaries,"August 5, 2019",,N/A,2.5,"1,397",Enter the Anime,tt10662450
852,American Factory,Documentaries,"August 21, 2019",,86,7.4,"16,016",American Factory,tt9351980
853,Travis Scott: Look Mom I Can Fly,Documentaries,"August 28, 2019",,N/A,6.3,"2,875",Travis Scott: Look Mom I Can Fly,tt10856726
854,The Crystal Calls – Making The Dark Crystal: Age of Resistance,Documentaries,"August 31, 2019",,N/A,7.6,404,The Crystal Calls - Making the Dark Crystal: Age of Resistance,tt10924716
855,Evelyn,Documentaries,"September 10, 2019",,55,7.0,"6,243",Evelyn,tt0298856
856,"Hello, Privilege. It's Me, Chelsea",Documentaries,"September 13, 2019",,N/A,4.3,"1,705","Hello, Privilege. It's Me, Chelsea",tt10847138
857,Los Tigres del Norte at Folsom Prison,Documentaries,"September 15, 2019",,N/A,7.4,92,Los Tigres del Norte at Folsom Prison,tt10857582
858,Birders,Documentaries,"September 25, 2019",,N/A,6.4,163,Birders,tt10907798
859,Ghosts of Sugar Land,Documentaries,"October 16, 2019",,N/A,5.5,"1,112",Ghosts of Sugar Land,tt9671828
860,Tell Me Who I Am,Documentaries,"October 18, 2019",,69,7.6,"9,967",Tell Me Who I Am,tt10915286
861,Dancing with the Birds,Documentaries,"October 23, 2019",,N/A,8.3,"1,253",Dancing with the Birds,tt11101698
862,It Takes a Lunatic,Documentaries,"October 25, 2019",,N/A,6.6,96,It Takes a Lunatic,tt11052346
863,A 3 Minute Hug,Documentaries,"October 28, 2019",,N/A,N/A,N/A,A 3 Minute Hug,tt9098586
864,Little Miss Sumo,Documentaries,"October 28, 2019",,N/A,6.6,306,Little Miss Sumo,tt9195844
865,Fire in Paradise,Documentaries,"November 1, 2019",,N/A,7.4,586,Fire in Paradise,tt11127056
866,"Bikram: Yogi, Guru, Predator",Documentaries,"November 20, 2019",,68,6.7,"5,070","Bikram: Yogi, Guru, Predator",tt10883004
867,"Lorena, Light-Footed Woman",Documentaries,"November 20, 2019",,N/A,7.1,269,"Lorena, Light-footed Woman",tt11162992
868,After the Raid,Documentaries,"December 19, 2019",,N/A,4.3,75,After the Raid,tt11324024
869,El Pepe: A Supreme Life,Documentaries,"December 27, 2019",,N/A,7.1,"1,216",El Pepe: A Supreme Life,tt8900434
883,Awaiting release,Documentaries,Awaiting release,,,,,,
889,A Very Murray Christmas,Comedy / Musical,"December 4, 2015",,N/A,5.5,"13,579",A Very Murray Christmas,tt4537842
890,Justin Timberlake + The Tennessee Kids,Concert film,"October 12, 2016",,81,7.8,"1,844",Justin Timberlake + the Tennessee Kids,tt5001772
891,13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,"January 26, 2017",,N/A,6.9,112,13th: A Conversation with Oprah Winfrey & Ava DuVernay,tt6491068
892,"Michael Bolton's Big, Sexy Valentine's Day Special",Variety show,"February 7, 2017",,N/A,6.7,"1,840","Michael Bolton's Big, Sexy Valentine's Day Special",tt6343706
893,Rodney King,One-man show,"April 28, 2017",,78,5.7,500,Rodney King,tt6624312
894,"Barbra: The Music, The Mem'ries, The Magic",Concert film,"November 22, 2017",,N/A,7.5,367,Barbra: The Music... The Mem'ries... The Magic!,tt7588584
895,Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",,N/A,7.1,"1,569",Derren Brown: Sacrifice,tt9077188
896,Loudon Wainwright III: Surviving Twin,One-man show,"November 13, 2018",,N/A,7.0,66,Loudon Wainwright III: Surviving Twin,tt9203030
897,Springsteen on Broadway,One-man show,"December 16, 2018",,N/A,8.5,"1,793",Springsteen on Broadway,tt8716334
898,Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",,,,,,
899,Taylor Swift: Reputation Stadium Tour,Concert film,"December 31, 2018",,N/A,8.3,"3,668",Taylor Swift: Reputation Stadium Tour,tt9426852
900,Kevin Hart's Guide to Black History,Variety show,"February 8, 2019",,N/A,5.4,"1,056",Kevin Hart's Guide to Black History,tt6373518
901,Still Laugh-In: The Stars Celebrate,Variety show,"May 14, 2019",,N/A,5.1,496,Still Laugh-In: The Stars Celebrate,tt9880234
902,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,"May 23, 2019",,,,,,
903,Anima,Musical / Short,"June 27, 2019",,N/A,7.7,"8,719",Anima,tt10516984
904,"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",,N/A,5.9,"1,667","Frankenstein's Monster's Monster, Frankenstein",tt10516390
905,Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",,N/A,7.0,"3,317",Rocko's Modern Life: Static Cling,tt6172460
906,Invader Zim: Enter the Florpus,Animation / Science fiction,"August 16, 2019",,N/A,7.5,"4,599",Invader ZIM: Enter the Florpus,tt6739094
907,American Factory: A Conversation with the Obamas,Aftershow / Interview,"August 21, 2019",,N/A,5.3,198,American Factory: A Conversation with the Obamas,tt10937318
908,Sturgill Simpson Presents: Sound & Fury,Animation / Musical,"September 27, 2019",,,,,,
909,The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",,N/A,7.1,608,The Road to El Camino: A Breaking Bad Movie,tt11151792
910,The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",,N/A,7.4,"1,340",The Irishman: In Conversation,tt11353562
911,Porta dos Fundos: The First Temptation of Christ,Comedy,"December 3, 2019",,,,,,
912,John Mulaney & the Sack Lunch Bunch,Variety show,"December 24, 2019",,N/A,8.0,"6,538",John Mulaney: The Comeback Kid,tt5069564
918,Leo the Lion,Animation,2005,,N/A,1.6,243,Leo the Lion,tt2380049
919,The Crew,Crime drama,2015,,37,5.6,"4,446",The Crew,tt0198386
920,The Little Prince,Animation,2015,,70,7.7,"55,178",The Little Prince,tt1754656
921,Ali's Wedding,Romantic comedy,2016,,64,6.9,"4,176",Ali's Wedding,tt2782692
922,Bad Moms,Comedy,2016,,60,6.2,"111,524",Bad Moms,tt4651520
923,Before I Wake,Horror-Fantasy,2016,,68,6.2,"37,955",Before I Wake,tt3174376
924,Big Fish & Begonia,Animation,2016,,58,8.0,"410,543",Big Fish,tt0319061
925,Brain on Fire,Drama,2016,,34,6.6,"16,831",Brain on Fire,tt3704700
926,David Brent: Life on the Road,Comedy,2016,,54,6.3,"18,040",David Brent: Life on the Road,tt3137630
927,Divines,Drama,2016,,71,7.4,"8,435",Divines,tt4730986
928,Hell or High Water,Crime drama,2016,,88,7.6,"199,920",Hell or High Water,tt2582782
929,In the Shadow of Iris,Thriller,2016,,N/A,6.1,"3,231",In the Shadow of Iris,tt5598110
930,Journey to Greenland,Comedy,2016,,N/A,6.3,"1,010",Journey to Greenland,tt4641248
931,Kung Fu Panda 3,Animation,2016,,66,7.1,"130,798",Kung Fu Panda 3,tt2267968
932,Layla M.,Drama,2016,,N/A,6.6,"1,393",Layla M.,tt5712152
933,Mercenary,Drama-Sports,2016,,N/A,6.4,639,Mercenary,tt4530968
934,Message from the King,Drama,2016,,40,6.4,"12,716",Message from the King,tt1712192
935,Middle School: The Worst Years of My Life,Comedy,2016,,51,6.1,"7,523",Middle School: The Worst Years of My Life,tt4981636
936,Mindhorn,Comedy,2016,,70,6.3,"10,822",Mindhorn,tt4799064
937,Pandora,Thriller,2016,,N/A,6.6,"5,144",Pandora,tt6302160
938,Sand Storm,Drama,2016,,74,6.8,"2,942",Sand Storm,tt4365518
939,Skiptrace,Action/Adventure,2016,,,,,,
940,Slam,Teen Drama,2016,,N/A,7.1,"2,189",Slam,tt0139615
941,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,Comedy,2016,,N/A,6.3,"5,060",The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,tt4940370
942,The 4th Company,Crime drama,2016,,N/A,6.3,580,The 4th Company,tt2197926
943,The Bad Batch,Black comedy thriller,2016,,62,5.3,"25,649",The Bad Batch,tt4334266
944,The Lighthouse of the Orcas,Drama,2016,,,,,,
945,Two Lovers and a Bear,Drama,2016,,61,6.1,"1,741",Two Lovers and a Bear,tt4412528
946,6 Days,Action thriller,2017,,36,6.2,"17,598",6 Days,tt4703048
947,A Bad Moms Christmas,Comedy,2017,,42,5.6,"40,398",A Bad Moms Christmas,tt6359956
948,A Prayer Before Dawn,Drama,2017,,76,6.9,"19,721",A Prayer Before Dawn,tt4080956
949,Angela's Christmas,Animation,2017,,N/A,7.0,"1,960",Angela's Christmas,tt7829544
950,Animal Crackers,Animation,2017,,77,7.5,"13,393",Animal Crackers,tt0020640
951,Before I Fall,Drama/mystery,2017,,58,6.5,"44,898",Before I Fall,tt1691916
952,Blade of the Immortal,Action-drama,2017,,72,6.8,"14,639",Blade of the Immortal,tt5084170
953,Burn Out,Action thriller,2017,,N/A,6.2,"2,741",Burn Out,tt6340604
954,Bushwick,Action adventure,2017,,44,5.2,"9,905",Bushwick,tt4720702
955,Catching Feelings,Romantic comedy,2017,,N/A,5.6,477,Catching Feelings,tt5827360
956,Errementari,Fantasy,2017,,N/A,6.4,"8,987",Errementari,tt5592878
957,Forgotten,Thriller,2017,,N/A,7.4,"14,933",Forgotten,tt7057496
958,FullMetal Alchemist,Fantasy adventure,2017,,N/A,8.5,"60,218",Fullmetal Alchemist,tt0421357
959,Godzilla: Planet of the Monsters,Anime,2017,,N/A,6.0,"7,357",Godzilla: Planet of the Monsters,tt5979874
960,Good Time,Crime drama,2017,,80,7.4,"83,637",Good Time,tt4846232
961,Home Again,Romantic comedy,2017,,41,5.8,"27,220",Home Again,tt5719700
962,Kidnap,Thriller,2017,,44,5.9,"33,021",Kidnap,tt1458169
963,Kodachrome,Drama,2017,,57,6.8,"10,918",Kodachrome,tt1880399
964,Lucid Dream,Thriller,2017,,N/A,6.1,"2,411",Lucid Dream,tt6830780
965,Maktub,Drama,2017,,N/A,7.5,"1,151",Maktub,tt7252000
966,Manhunt,Action thriller,2017,,N/A,8.1,"47,518",Manhunt,tt5618256
967,Mudbound,Drama,2017,,85,7.4,"40,928",Mudbound,tt2396589
968,My Happy Family,Drama,2017,,86,7.4,"2,877",My Happy Family,tt5791536
969,On Body and Soul,Drama,2017,,77,7.6,"23,089",On Body and Soul,tt5607714
970,Orbiter 9,Science fiction,2017,,N/A,5.9,"6,106",Orbiter 9,tt3469798
971,Ravenous,Horror,2017,,46,7.0,"36,083",Ravenous,tt0129332
972,Rock My Heart,Drama,2017,,N/A,6.5,662,Rock My Heart,tt5870322
973,Sahara,Animation,2017,,41,6.0,"91,011",Sahara,tt0318649
974,Steel Rain,Action,2017,,N/A,7.1,"4,070",Steel Rain,tt6769508
975,The 3rd Eye,Horror,2017,,N/A,5.1,"1,013",The 3rd Eye,tt6506146
976,The Circle,Thriller,2017,,43,5.3,"82,496",The Circle,tt4287320
977,The Climb,Comedy,2017,,N/A,6.9,"4,506",The Climb,tt5157682
978,The Foreigner,Action/thriller,2017,,55,7.0,"96,826",The Foreigner,tt1615160
979,The Hitman's Bodyguard,Action Comedy,2017,,47,6.9,"182,175",The Hitman's Bodyguard,tt1959563
980,The Motive,Drama,2017,,58,6.5,"4,522",The Motive,tt5451244
981,The Ritual,Horror,2017,,57,6.3,"73,245",The Ritual,tt5638642
982,The Skin of the Wolf,Drama,2017,,N/A,5.8,"2,236",The Skin of the Wolf,tt6347150
983,The Space Between Us,Science fiction,2017,,33,6.4,"46,965",The Space Between Us,tt3922818
984,What Happened to Monday,Science fiction-thriller,2017,,47,6.9,"100,881",What Happened to Monday,tt1536537
985,You Get Me,Thriller,2017,,N/A,4.6,"11,218",You Get Me,tt5539054
986,A Fortunate Man,Drama,2018,,N/A,7.4,30,A Fortunate Man,tt6748178
987,A Land Imagined,Thriller,2018,,59,6.2,"1,071",A Land Imagined,tt8726116
988,A Twelve-Year Night,Drama,2018,,N/A,7.6,"7,921",A Twelve-Year Night,tt6792282
989,All Is Well,Drama,2018,,N/A,3.8,"1,371",All Is Well,tt3547616
990,And Breathe Normally,Drama,2018,,77,6.9,"2,182",And Breathe Normally,tt6776106
991,Animas,Horror,2018,,N/A,N/A,N/A,Animas,tt5961142
992,Annihilation,Science fiction,2018,,79,6.8,"274,284",Annihilation,tt2798920
993,Anon,Science fiction,2018,,54,6.1,"36,003",Anon,tt5397194
994,At Eternity's Gate,Biopic,2018,,76,6.9,"26,376",At Eternity's Gate,tt6938828
995,Aurora,Drama,2018,,63,6.6,"1,656",Aurora,tt1403047
996,Bad Seeds,Comedy,2018,,N/A,7.3,"3,077",Bad Seeds,tt6708116
997,Battle,Drama,2018,,N/A,6.0,"3,346",Battle,tt6854672
998,Bayonet,Drama,2018,,N/A,5.8,407,Bayonet,tt6472116
999,Beirut,Spy thriller,2018,,69,6.4,"18,215",Beirut,tt4669264
1000,Bleach,Action-drama,2018,,N/A,6.4,"10,057",Bleach,tt5979872
1001,Budapest,Comedy,2018,,N/A,5.3,"2,086",Budapest,tt7027092
1002,Cities of Last Things,Drama,2018,,66,6.2,"1,072",Cities of Last Things,tt4397342
1003,Close Enemies,Drama,2018,,N/A,6.3,"1,786",Close Enemies,tt6527586
1004,Curtiz,Drama,2018,,N/A,6.0,616,Curtiz,tt6774588
1005,Crossroads: One Two Jaga,Drama,2018,,N/A,6.4,541,Crossroads: One Two Jaga,tt6603812
1006,Dear Ex,Drama,2018,,N/A,7.4,"3,375",Dear Ex,tt8443704
1007,Dovlatov,Drama,2018,,68,6.4,"1,660",Dovlatov,tt7763020
1008,Dry Martina,Comedy,2018,,N/A,5.8,650,Dry Martina,tt6312802
1009,Duck Duck Goose,Animation,2018,,N/A,5.7,"3,017",Duck Duck Goose,tt4940416
1010,Dumplin',Musical comedy-drama,2018,,53,6.6,"27,327",Dumplin',tt4878482
1011,El Potro: Unstoppable,Drama,2018,,N/A,N/A,N/A,El Potro: Unstoppable,tt9426178
1012,Flavors of Youth: International Version,Anime,2018,,,,,,
1013,Girl,Drama,2018,,79,8.1,"837,814",Gone Girl,tt2267998
1014,Girls with Balls,Comedy,2018,,N/A,3.8,"2,277",Girls with Balls,tt4725842
1015,Gnome Alone,Animation,2018,,N/A,5.6,"2,635",Gnome Alone,tt5851786
1016,Godzilla: City on the Edge of Battle,Anime,2018,,N/A,5.8,"4,004",Godzilla: City on the Edge of Battle,tt8015080
1017,Godzilla: The Planet Eater,Anime,2018,,N/A,5.0,"3,277",Godzilla: The Planet Eater,tt8478602
1018,Goyo: The Boy General,Drama,2018,,,,,,
1019,Guardians of the Tomb,Adventure,2018,,N/A,4.4,"3,155",7 Guardians of the Tomb,tt4915672
1020,Gun City,Crime thriller,2018,,N/A,6.3,"3,104",Gun City,tt7104984
1021,Happy as Lazzaro,Drama,2018,,87,7.6,"14,172",Happy as Lazzaro,tt6752992
1022,High Society,Drama,2018,,N/A,7.0,"13,489",High Society,tt0049314
1023,How to Get Over a Breakup,Comedy,2018,,N/A,6.2,"1,662",How to Get Over a Breakup,tt8435268
1024,I Am Jonas,Drama,2018,,N/A,7.0,"2,280",I Am Jonas,tt8168186
1025,Illang: The Wolf Brigade,Action,2018,,,,,,
1026,Jaoon Kahan Bata Ae Dil,Drama,2018,,,,,,
1027,Jefe,Comedy,2018,,N/A,5.4,703,Jefe,tt7527538
1028,Joy,Drama,2018,,56,6.6,"125,861",Joy,tt2446980
1029,Kuntilanak,Horror,2018,,N/A,4.8,503,Kuntilanak,tt8512746
1030,Lady J,Drama,2018,,N/A,6.9,"2,235",Lady J,tt7530986
1031,Malevolent,Horror,2018,,N/A,4.8,"9,964",Malevolent,tt2386237
1032,May the Devil Take You,Thriller,2018,,N/A,6.0,"3,131",May the Devil Take You,tt8765496
1033,Mirage,Drama,2018,,N/A,7.4,"37,870",Mirage,tt6908274
1034,Modest Heroes: Ponoc Short Films Theater,Anime,2018,,,,,,
1035,Munafik 2,Horror,2018,,N/A,6.3,"1,449",Munafik 2,tt7059506
1036,"My Teacher, My Obsession",Thriller,2018,,N/A,4.4,"1,818","My Teacher, My Obsession",tt6997574
1037,Nothing to Hide,Drama,2018,,N/A,6.8,"11,598",Nothing to Hide,tt7489816
1038,Operation Finale,Drama,2018,,58,6.6,"30,190",Operation Finale,tt5208252
1039,Pachamama,Animation,2018,,N/A,6.7,563,Pachamama,tt5541002
1040,Paskal,Drama,2018,,N/A,6.8,"2,679",Paskal: The Movie,tt9063106
1041,Perdida,Thriller,2018,,N/A,5.6,"3,888",Perdida,tt7841496
1042,Pickpockets,Crime drama,2018,,N/A,5.4,944,Pickpockets,tt7527694
1043,Psychokinesis,Action,2018,,N/A,N/A,N/A,Psychokinesis,tt4457182
1044,Pulang,Drama,2018,,N/A,6.9,441,Pulang,tt8595708
1045,Revenger,Action,2018,,N/A,5.7,"3,368",Revenger,tt9426186
1046,River's Edge,Comedy-drama,2018,,73,7.0,"15,552",River's Edge,tt0091860
1047,Sabrina,Horror,2018,,72,7.7,"58,114",Sabrina,tt0047437
1048,Sara's Notebook,Thriller,2018,,N/A,5.9,"2,326",Sara's Notebook,tt6599742
1049,Second Act,Romantic comedy,2018,,46,5.8,"21,261",Second Act,tt2126357
1050,Shéhérazade,Drama,2018,,68,7.1,"1,291",Shéhérazade,tt8459250
1051,Solo,Thriller,2018,,N/A,4.0,"4,066",Solo,tt0117688
1052,Sunday's Illness,Drama,2018,,92,6.9,"2,474",Sunday's Illness,tt6053948
1053,Suzzanna: Buried Alive,Horror,2018,,N/A,5.6,736,Suzzanna: Buried Alive,tt9044128
1054,The Awakening of Motti Wolkenbruch,Comedy,2018,,N/A,6.6,"3,060",The Awakening of Motti Wolkenbruch,tt4766630
1055,The Breaker Upperers,Romantic comedy-drama,2018,,76,5.9,"5,114",The Breaker Upperers,tt6728096
1056,The Burial of Kojo,Drama,2018,,93,6.4,550,The Burial of Kojo,tt7497366
1057,The Drug King,Drama,2018,,N/A,6.1,"1,968",The Drug King,tt6914542
1058,The Guernsey Literary and Potato Peel Pie Society,Historical-drama,2018,,65,7.4,"32,324",The Guernsey Literary and Potato Peel Pie Society,tt1289403
1059,The Kindergarten Teacher,Drama,2018,,75,6.7,"12,460",The Kindergarten Teacher,tt6952960
1060,The Laws of Thermodynamics,Romantic comedy,2018,,45,6.1,"2,322",The Laws of Thermodynamics,tt6053938
1061,The Photographer of Mauthausen,Drama,2018,,N/A,6.7,"7,405",The Photographer of Mauthausen,tt6704776
1062,The Plagues of Breslau,Thriller,2018,,N/A,5.7,"2,915",The Plagues of Breslau,tt8618118
1063,The Resistance Banker,Thriller,2018,,N/A,6.9,"7,253",The Resistance Banker,tt4610378
1064,The Titan,Science fiction,2018,,33,4.8,"27,016",The Titan,tt4986098
1065,The Tree of Blood,Drama,2018,,N/A,6.4,"2,203",The Tree of Blood,tt6433832
1066,The Tribe,Comedy,2018,,78,7.0,"10,133",The Tribe,tt1745787
1067,The Warning,Thriller,2018,,N/A,5.9,"5,071",The Warning,tt3711510
1068,The World Is Yours,Comedy,2018,,73,6.4,"3,421",The World Is Yours,tt6892462
1069,Time Share,Drama,2018,,N/A,6.0,"2,235",Time Share,tt6444140
1070,Us and Them,Drama,2018,,N/A,7.3,"2,559",Us and Them,tt8033592
1071,When Angels Sleep,Drama,2018,,N/A,5.4,"2,959",When Angels Sleep,tt3732280
1072,White Fang,Animation,2018,,62,6.7,"19,281",White Fang,tt0103247
1073,Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure,Animation,2018,,,,,,
1074,Your Son,Drama,2018,,N/A,1.9,567,I Accidentally Domed Your Son,tt0353545
1075,Yucatán,Comedy,2018,,N/A,5.5,"1,552",Yucatán,tt6502956
1076,Zoe,Science fiction,2018,,39,6.1,"7,266",Zoe,tt6010628
1077,4L,Comedy,2019,,N/A,5.9,"2,385",4L,tt8242160
1078,37 Seconds,Drama,2019,,62,7.3,"1,594",37 Seconds,tt6156138
1079,A Shaun the Sheep Movie: Farmageddon,Animation,2019,,79,6.9,"8,052",A Shaun the Sheep Movie: Farmageddon,tt6193408
1080,A Sun,Drama,2019,,N/A,7.6,"2,734",A Sun,tt10883506
1081,After,Drama,2019,,30,5.3,"33,104",After,tt4126476
1082,All the Freckles in the World,Romantic comedy,2019,,N/A,5.2,955,All the Freckles in the World,tt9809140
1083,Arctic Dogs,Animation,2019,,28,4.6,"1,265",Arctic Dogs,tt4426464
1084,Atlantics,Drama,2019,,85,6.7,"7,212",Atlantics,tt10199586
1085,Blood Will Tell,Thriller,2019,,N/A,6.0,479,Blood Will Tell,tt5687236
1086,Boi,Thriller,2019,,N/A,4.9,502,Boi,tt9010900
1087,Booksmart,Coming-of-age Comedy,2019,,84,7.2,"86,438",Booksmart,tt1489887
1088,Brother,Drama,2019,,47,7.2,"21,565",Brother,tt0222851
1089,Close,Thriller,2019,,51,5.7,"20,047",Close,tt5316540
1090,DJ Cinderella,Drama,2019,,N/A,4.4,623,DJ Cinderella,tt8716800
1091,Dragon Quest: Your Story,Anime,2019,,N/A,6.5,"2,023",Dragon Quest: Your Story,tt10127562
1092,"Extremely Wicked, Shockingly Evil and Vile",Thriller,2019,,52,6.6,"74,136","Extremely Wicked, Shockingly Evil and Vile",tt2481498
1093,Eye for an Eye,Thriller,2019,,N/A,6.2,"13,248",Eye for an Eye,tt0116260
1094,Furie,Action-drama,2019,,N/A,6.3,"3,632",Furie,tt9412268
1095,Get In,Thriller,2019,,N/A,5.7,"1,639",Get In,tt8246392
1096,Grandma's Wedding,Romantic comedy,2019,,N/A,5.4,405,Grandma's Wedding,tt8022904
1097,Hot Gimmick: Girl Meets Boy,Drama,2019,,N/A,4.5,243,Hot Gimmick: Girl Meets Boy,tt10061256
1098,I Am Mother,Science fiction Thriller,2019,,64,6.7,"71,983",I Am Mother,tt6292852
1099,I Lost My Body,Animation,2019,,80,7.6,"24,602",I Lost My Body,tt9806192
1100,In Family I Trust,Comedy,2019,,N/A,6.2,"2,251",In Family I Trust,tt6869362
1101,Isn't It Romantic,Romantic comedy,2019,,60,5.9,"60,502",Isn't It Romantic,tt2452244
1102,Jo Pil-ho: The Dawning Rage,Drama,2019,,N/A,6.3,"1,210",Jo Pil-ho: The Dawning Rage,tt7738048
1103,Kardec,Drama,2019,,N/A,6.2,"1,147",Kardec,tt9213932
1104,Kidnapping Stella,Crime drama,2019,,N/A,4.8,"4,922",Kidnapping Stella,tt8613876
1105,Let's Dance,Drama,2019,,N/A,5.9,"1,014",Let's Dance,tt8599746
1106,"Live Twice, Love Once",Drama,2019,,N/A,7.2,"4,369","Live Twice, Love Once",tt9063902
1107,Maria,Drama,2019,,N/A,5.0,"1,645",Maria,tt7594584
1108,Money Trap,Comedy,2019,,N/A,6.0,"11,277",Money Trap,tt8442644
1109,Ni no Kuni,Anime,2019,,,,,,
1110,"Oh, Ramona!",Comedy,2019,,N/A,4.9,"7,649","Oh, Ramona!",tt7200946
1111,Paradise Beach,Thriller,2019,,N/A,4.4,"1,654",Paradise Beach,tt7511008
1112,Pokémon: Mewtwo Strikes Back—Evolution,Anime,2019,,N/A,5.7,"3,989",Pokémon: Mewtwo Strikes Back - Evolution,tt8856470
1113,Ready to Mingle,Comedy,2019,,N/A,5.9,"1,909",Ready to Mingle,tt6736198
1114,School Life,Teen comedy,2019,,N/A,6.4,"1,705",School Life,tt8783532
1115,Serenity,Drama,2019,,74,7.8,"280,744",Serenity,tt0379786
1116,Shaft,Action comedy,2019,,50,5.9,"72,697",Shaft,tt0162650
1117,Shanghai Fortress,Action/Adventure,2019,,N/A,4.3,"1,712",Shanghai Fortress,tt6628322
1118,Svaha: The Sixth Finger,Thriller,2019,,N/A,6.2,"2,460",Svaha: The Sixth Finger,tt7299298
1119,System Crasher,Drama,2019,,90,7.8,"8,162",System Crasher,tt8535968
